id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46692010,Affordable beds in Awesome location,45512047,Clyde,,Ward 57,-33.93757,18.4719,Shared room,185,2,7,2021-10-20,0.45,9,0,3,
46700524,Bright Lights on the Foreshore - Waterfront Views,218745884,Jayson,,Ward 115,-33.91897,18.42443,Entire home/apt,1086,2,23,2022-03-23,1.43,33,0,19,
46700719,Bungalow,32057839,Penny,,Ward 61,-34.14035,18.32214,Entire home/apt,1159,3,3,2022-03-18,1.10,6,171,3,
46701060,"Eagles Rest - Refreshing For Body, Soul & Spirit",377118801,Solomon,,Ward 112,-33.82742,18.66798,Private room,1500,7,0,,,1,0,0,
46701840,Stunning views from this cosy 1 bedroom apartment,262397869,Jane,,Ward 61,-34.18518,18.42477,Entire home/apt,595,2,3,2022-03-01,0.20,1,346,2,
46705711,Designer Sea Point Rowhouse,156320650,Heidi,,Ward 54,-33.92107,18.39258,Entire home/apt,3031,3,35,2022-03-26,2.33,2,239,29,
46715130,Look no further,325777060,Okhale,,Ward 107,-33.79998,18.49062,Entire home/apt,2500,3,0,,,1,364,0,
46715780,Beachfront Apartment + Pool + Secure Garage,360400887,Roxy,,Ward 23,-33.8116,18.47127,Entire home/apt,936,2,46,2022-03-21,2.98,1,160,31,
46718153,Crossfire@Home - 105 The Vynide,88647379,Crossfire Properties,,Ward 109,-34.09304,18.81471,Private room,1330,1,1,2022-01-03,0.35,15,361,1,
46718420,Gorgeous Space in Prime Location with Ocean Views,63250756,John,,Ward 115,-33.91017,18.39929,Entire home/apt,1500,2,9,2022-03-23,0.58,1,307,8,
46718426,Tokai entertainers dream with top billing kitchen,142560241,Lance,,Ward 71,-34.065159,18.434513,Entire home/apt,3000,7,2,2022-01-02,0.13,1,86,1,
46718497,Spacious Private Room  in Shared House-Observatory,110133853,Ismail,,Ward 57,-33.938969,18.468571,Private room,500,2,4,2021-12-29,0.26,2,0,1,
46720804,Gull's Family Beach House Bloubergstrand,59072,Dirk,,Ward 23,-33.80362,18.46877,Entire home/apt,4857,3,5,2022-01-02,0.32,5,183,3,
46721361,Large apartment with large balcony and sea views.,48739881,Graham,,Ward 115,-33.90852,18.39654,Private room,2300,6,0,,,1,365,0,
